t,S1,S2,S3,E1,E2,E3,Ev,Eq,Sp,Sq,Ep_q,void,gamma,G,nu,Sy,M,Group
2.38,-435104.021690394,-1015899.80775872,-1015899.80775872,0.0019,-0.00095,-0.00095,0,0.00190000000007791,822301.212402614,580795.78606833,0.00750637438949955,0.5,0.00750637438949955,100000000,0.25,100000,0.577350269189626,1
2.4,-440098.009850873,-1025581.2959192,-1025581.2959192,0.002,-0.001,-0.001,0,0.00200000000007402,830420.200563093,585483.286068331,0.00759074938949955,0.5,0.00759074938949955,100000000,0.25,100000,0.577350269189626,1
2.42,-445091.998011352,-1035262.78407968,-1035262.78407968,0.0021,-0.00105,-0.00105,0,0.00210000000007049,838539.188723572,590170.786068331,0.00767512438949955,0.5,0.00767512438949955,100000000,0.25,100000,0.577350269189626,1
2.44,-450085.986171831,-1044944.27224016,-1044944.27224016,0.0022,-0.0011,-0.0011,0,0.00220000000006729,846658.176884051,594858.286068331,0.00775949938949955,0.5,0.00775949938949955,100000000,0.25,100000,0.577350269189626,1
2.46,-455079.97433231,-1054625.76040064,-1054625.76040064,0.0023,-0.00115,-0.00115,0,0.00230000000006436,854777.16504453,599545.786068331,0.00784387438949955,0.5,0.00784387438949955,100000000,0.25,100000,0.577350269189626,1
2.48,-460073.962492789,-1064307.24856112,-1064307.24856112,0.0024,-0.0012,-0.0012,0,0.00240000000006168,862896.15320501,604233.286068331,0.00792824938949955,0.5,0.00792824938949955,100000000,0.25,100000,0.577350269189626,1
2.5,-465067.950653268,-1073988.7367216,-1073988.7367216,0.0025,-0.00125,-0.00125,0,0.00250000000005921,871015.141365489,608920.786068331,0.00801262438949956,0.5,0.00801262438949956,100000000,0.25,100000,0.577350269189626,1
2.52,-470061.938813747,-1083670.22488208,-1083670.22488208,0.0026,-0.0013,-0.0013,0,0.00260000000005694,879134.129525968,613608.286068331,0.00809699938949955,0.5,0.00809699938949955,100000000,0.25,100000,0.577350269189626,1
2.54,-475055.926974226,-1093351.71304256,-1093351.71304256,0.0027,-0.00135,-0.00135,0,0.00270000000005483,887253.117686447,618295.786068331,0.00818137438949955,0.5,0.00818137438949955,100000000,0.25,100000,0.577350269189626,1
2.56,-480049.915134706,-1103033.20120304,-1103033.20120304,0.0028,-0.0014,-0.0014,0,0.00280000000005287,895372.105846926,622983.286068331,0.00826574938949956,0.5,0.00826574938949956,100000000,0.25,100000,0.577350269189626,1
2.58,-485043.903295185,-1112714.68936352,-1112714.68936352,0.0029,-0.00145,-0.00145,0,0.00290000000005105,903491.094007405,627670.786068331,0.00835012438949955,0.5,0.00835012438949955,100000000,0.25,100000,0.577350269189626,1
2.6,-490037.891455664,-1122396.17752399,-1122396.17752399,0.003,-0.0015,-0.0015,0,0.00300000000004934,911610.082167884,632358.286068331,0.00843449938949956,0.5,0.00843449938949956,100000000,0.25,100000,0.577350269189626,1
2.62,-495031.879616143,-1132077.66568447,-1132077.66568447,0.0031,-0.00155,-0.00155,0,0.00310000000004775,919729.070328363,637045.786068331,0.00851887438949956,0.5,0.00851887438949956,100000000,0.25,100000,0.577350269189626,1
2.64,-500025.867776622,-1141759.15384495,-1141759.15384495,0.0032,-0.0016,-0.0016,0,0.00320000000004626,927848.058488842,641733.28606833,0.00860324938949955,0.5,0.00860324938949955,100000000,0.25,100000,0.577350269189626,1
2.66,-505019.855937101,-1151440.64200543,-1151440.64200543,0.0033,-0.00165,-0.00165,0,0.00330000000004486,935967.046649322,646420.786068331,0.00868762438949956,0.5,0.00868762438949956,100000000,0.25,100000,0.577350269189626,1
2.68,-510013.84409758,-1161122.13016591,-1161122.13016591,0.0034,-0.0017,-0.0017,0,0.00340000000004354,944086.0348098,651108.28606833,0.00877199938949955,0.5,0.00877199938949955,100000000,0.25,100000,0.577350269189626,1
2.7,-515007.832258059,-1170803.61832639,-1170803.61832639,0.0035,-0.00175,-0.00175,0,0.0035000000000423,952205.02297028,655795.786068331,0.00885637438949956,0.5,0.00885637438949956,100000000,0.25,100000,0.577350269189626,1
2.72,-520001.820418538,-1180485.10648687,-1180485.10648687,0.0036,-0.0018,-0.0018,0,0.00360000000004112,960324.011130759,660483.28606833,0.00894074938949955,0.5,0.00894074938949955,100000000,0.25,100000,0.577350269189626,1
